,orientation,frame_id,case_id,dropped,left,right
5,dropped,2,2,1.0,0.0,0.0
8,dropped,3,2,1.0,0.0,0.0
11,dropped,4,2,1.0,0.0,0.0
14,dropped,5,2,1.0,0.0,0.0
17,dropped,6,2,1.0,0.0,0.0
20,dropped,7,2,1.0,0.0,0.0
23,grabbed_-_right,8,2,0.0,0.0,1.0
26,grabbed_-_right,9,2,0.0,0.0,1.0
29,grabbed_-_right,10,2,0.0,0.0,1.0
32,grabbed_-_both,11,2,0.0,1.0,1.0
35,grabbed_-_left,12,2,0.0,1.0,0.0
38,grabbed_-_left,13,2,0.0,1.0,0.0
41,grabbed_-_left,14,2,0.0,1.0,0.0
44,grabbed_-_left,15,2,0.0,1.0,0.0
47,grabbed_-_left,16,2,0.0,1.0,0.0
50,grabbed_-_left,17,2,0.0,1.0,0.0
53,grabbed_-_left,18,2,0.0,1.0,0.0
56,grabbed_-_left,19,2,0.0,1.0,0.0
59,grabbed_-_left,20,2,0.0,1.0,0.0
62,grabbed_-_left,21,2,0.0,1.0,0.0
65,grabbed_-_both,22,2,0.0,1.0,1.0
68,grabbed_-_both,23,2,0.0,1.0,1.0
71,grabbed_-_right,24,2,0.0,0.0,1.0
74,grabbed_-_right,25,2,0.0,0.0,1.0
77,grabbed_-_both,26,2,0.0,1.0,1.0
80,grabbed_-_left,27,2,0.0,1.0,0.0
83,grabbed_-_left,28,2,0.0,1.0,0.0
86,grabbed_-_left,29,2,0.0,1.0,0.0
89,grabbed_-_left,30,2,0.0,1.0,0.0
92,grabbed_-_left,31,2,0.0,1.0,0.0
95,grabbed_-_left,32,2,0.0,1.0,0.0
98,grabbed_-_left,33,2,0.0,1.0,0.0
101,grabbed_-_right,34,2,0.0,0.0,1.0
104,grabbed_-_right,35,2,0.0,0.0,1.0
107,grabbed_-_right,36,2,0.0,0.0,1.0
110,grabbed_-_right,37,2,0.0,0.0,1.0
113,grabbed_-_right,38,2,0.0,0.0,1.0
116,grabbed_-_right,39,2,0.0,0.0,1.0
119,grabbed_-_right,40,2,0.0,0.0,1.0
122,grabbed_-_right,41,2,0.0,0.0,1.0
125,grabbed_-_right,42,2,0.0,0.0,1.0
128,grabbed_-_right,43,2,0.0,0.0,1.0
131,grabbed_-_right,44,2,0.0,0.0,1.0
134,grabbed_-_left,45,2,0.0,1.0,0.0
137,grabbed_-_left,46,2,0.0,1.0,0.0
140,grabbed_-_left,47,2,0.0,1.0,0.0
143,grabbed_-_left,48,2,0.0,1.0,0.0
146,grabbed_-_both,49,2,0.0,1.0,1.0
149,grabbed_-_right,50,2,0.0,0.0,1.0
152,grabbed_-_right,51,2,0.0,0.0,1.0
155,grabbed_-_both,52,2,0.0,1.0,1.0
158,grabbed_-_left,53,2,0.0,1.0,0.0
161,grabbed_-_left,54,2,0.0,1.0,0.0
164,grabbed_-_left,55,2,0.0,1.0,0.0
167,grabbed_-_left,56,2,0.0,1.0,0.0
170,grabbed_-_left,57,2,0.0,1.0,0.0
173,grabbed_-_both,58,2,0.0,1.0,1.0
176,grabbed_-_left,59,2,0.0,1.0,0.0
179,grabbed_-_both,60,2,0.0,1.0,1.0
182,grabbed_-_right,61,2,0.0,0.0,1.0
185,grabbed_-_right,62,2,0.0,0.0,1.0
188,grabbed_-_left,63,2,0.0,1.0,0.0
191,grabbed_-_left,64,2,0.0,1.0,0.0
194,grabbed_-_left,65,2,0.0,1.0,0.0
197,grabbed_-_right,66,2,0.0,0.0,1.0
200,grabbed_-_right,67,2,0.0,0.0,1.0
203,grabbed_-_right,68,2,0.0,0.0,1.0
206,grabbed_-_right,69,2,0.0,0.0,1.0
209,grabbed_-_right,70,2,0.0,0.0,1.0
212,grabbed_-_right,71,2,0.0,0.0,1.0
215,grabbed_-_right,72,2,0.0,0.0,1.0
218,grabbed_-_left,73,2,0.0,1.0,0.0
221,grabbed_-_left,74,2,0.0,1.0,0.0
224,grabbed_-_right,75,2,0.0,0.0,1.0
227,grabbed_-_right,76,2,0.0,0.0,1.0
230,grabbed_-_both,77,2,0.0,1.0,1.0
233,grabbed_-_left,78,2,0.0,1.0,0.0
236,grabbed_-_left,79,2,0.0,1.0,0.0
239,grabbed_-_left,80,2,0.0,1.0,0.0
242,grabbed_-_left,81,2,0.0,1.0,0.0
245,grabbed_-_left,82,2,0.0,1.0,0.0
248,grabbed_-_left,83,2,0.0,1.0,0.0
251,grabbed_-_left,84,2,0.0,1.0,0.0
254,grabbed_-_left,85,2,0.0,1.0,0.0
257,grabbed_-_left,86,2,0.0,1.0,0.0
260,grabbed_-_left,87,2,0.0,1.0,0.0
263,grabbed_-_left,88,2,0.0,1.0,0.0
266,grabbed_-_left,89,2,0.0,1.0,0.0
269,grabbed_-_both,90,2,0.0,1.0,1.0
272,grabbed_-_right,91,2,0.0,0.0,1.0
275,grabbed_-_both,92,2,0.0,1.0,1.0
278,grabbed_-_left,93,2,0.0,1.0,0.0
281,grabbed_-_both,94,2,0.0,1.0,1.0
284,grabbed_-_right,95,2,0.0,0.0,1.0
287,grabbed_-_right,96,2,0.0,0.0,1.0
290,grabbed_-_right,97,2,0.0,0.0,1.0
293,grabbed_-_right,98,2,0.0,0.0,1.0
296,grabbed_-_right,99,2,0.0,0.0,1.0
299,grabbed_-_right,100,2,0.0,0.0,1.0
302,grabbed_-_right,101,2,0.0,0.0,1.0
305,grabbed_-_left,102,2,0.0,1.0,0.0
308,grabbed_-_left,103,2,0.0,1.0,0.0
311,grabbed_-_left,104,2,0.0,1.0,0.0
314,grabbed_-_left,105,2,0.0,1.0,0.0
317,grabbed_-_left,106,2,0.0,1.0,0.0
320,grabbed_-_left,107,2,0.0,1.0,0.0
323,grabbed_-_left,108,2,0.0,1.0,0.0
326,grabbed_-_left,109,2,0.0,1.0,0.0
329,grabbed_-_left,110,2,0.0,1.0,0.0
332,grabbed_-_left,111,2,0.0,1.0,0.0
335,grabbed_-_right,112,2,0.0,0.0,1.0
338,grabbed_-_right,113,2,0.0,0.0,1.0
341,grabbed_-_right,114,2,0.0,0.0,1.0
344,grabbed_-_right,115,2,0.0,0.0,1.0
347,grabbed_-_right,116,2,0.0,0.0,1.0
350,grabbed_-_right,117,2,0.0,0.0,1.0
353,grabbed_-_right,118,2,0.0,0.0,1.0
356,grabbed_-_right,119,2,0.0,0.0,1.0
359,grabbed_-_both,120,2,0.0,1.0,1.0
362,grabbed_-_left,121,2,0.0,1.0,0.0
365,grabbed_-_left,122,2,0.0,1.0,0.0
368,grabbed_-_left,123,2,0.0,1.0,0.0
371,grabbed_-_left,124,2,0.0,1.0,0.0
374,grabbed_-_left,125,2,0.0,1.0,0.0
377,grabbed_-_left,126,2,0.0,1.0,0.0
380,grabbed_-_left,127,2,0.0,1.0,0.0
383,grabbed_-_both,128,2,0.0,1.0,1.0
386,grabbed_-_right,129,2,0.0,0.0,1.0
389,grabbed_-_right,130,2,0.0,0.0,1.0
392,grabbed_-_right,131,2,0.0,0.0,1.0
395,grabbed_-_right,132,2,0.0,0.0,1.0
398,grabbed_-_right,133,2,0.0,0.0,1.0
401,grabbed_-_both,134,2,0.0,1.0,1.0
404,grabbed_-_left,135,2,0.0,1.0,0.0
407,grabbed_-_left,136,2,0.0,1.0,0.0
410,grabbed_-_left,137,2,0.0,1.0,0.0
413,grabbed_-_left,138,2,0.0,1.0,0.0
416,grabbed_-_left,139,2,0.0,1.0,0.0
419,grabbed_-_left,140,2,0.0,1.0,0.0
422,grabbed_-_left,141,2,0.0,1.0,0.0
425,grabbed_-_both,142,2,0.0,1.0,1.0
428,grabbed_-_right,143,2,0.0,0.0,1.0
431,grabbed_-_right,144,2,0.0,0.0,1.0
434,grabbed_-_right,145,2,0.0,0.0,1.0
437,grabbed_-_right,146,2,0.0,0.0,1.0
440,grabbed_-_right,147,2,0.0,0.0,1.0
443,dropped,148,2,1.0,0.0,0.0
446,dropped,149,2,1.0,0.0,0.0
449,dropped,150,2,1.0,0.0,0.0
452,dropped,151,2,1.0,0.0,0.0
455,dropped,152,2,1.0,0.0,0.0
0,dropped,1,3,1.0,0.0,0.0
3,dropped,2,3,1.0,0.0,0.0
6,grabbed_-_right,3,3,0.0,0.0,1.0
9,grabbed_-_right,4,3,0.0,0.0,1.0
12,grabbed_-_left,5,3,0.0,1.0,0.0
15,grabbed_-_left,6,3,0.0,1.0,0.0
18,grabbed_-_left,7,3,0.0,1.0,0.0
21,grabbed_-_left,8,3,0.0,1.0,0.0
24,grabbed_-_left,9,3,0.0,1.0,0.0
27,grabbed_-_left,10,3,0.0,1.0,0.0
30,grabbed_-_left,11,3,0.0,1.0,0.0
33,grabbed_-_left,12,3,0.0,1.0,0.0
36,grabbed_-_left,13,3,0.0,1.0,0.0
39,grabbed_-_both,14,3,0.0,1.0,1.0
42,grabbed_-_right,15,3,0.0,0.0,1.0
45,grabbed_-_right,16,3,0.0,0.0,1.0
48,grabbed_-_right,17,3,0.0,0.0,1.0
51,grabbed_-_right,18,3,0.0,0.0,1.0
54,grabbed_-_right,19,3,0.0,0.0,1.0
57,grabbed_-_right,20,3,0.0,0.0,1.0
60,grabbed_-_right,21,3,0.0,0.0,1.0
63,grabbed_-_both,22,3,0.0,1.0,1.0
66,grabbed_-_left,23,3,0.0,1.0,0.0
69,grabbed_-_left,24,3,0.0,1.0,0.0
72,grabbed_-_right,25,3,0.0,0.0,1.0
75,grabbed_-_left,26,3,0.0,1.0,0.0
78,grabbed_-_left,27,3,0.0,1.0,0.0
81,grabbed_-_left,28,3,0.0,1.0,0.0
84,grabbed_-_left,29,3,0.0,1.0,0.0
87,grabbed_-_left,30,3,0.0,1.0,0.0
90,grabbed_-_left,31,3,0.0,1.0,0.0
93,grabbed_-_both,32,3,0.0,1.0,1.0
96,grabbed_-_right,33,3,0.0,0.0,1.0
99,grabbed_-_right,34,3,0.0,0.0,1.0
102,grabbed_-_right,35,3,0.0,0.0,1.0
105,grabbed_-_right,36,3,0.0,0.0,1.0
108,grabbed_-_right,37,3,0.0,0.0,1.0
111,grabbed_-_right,38,3,0.0,0.0,1.0
114,grabbed_-_right,39,3,0.0,0.0,1.0
117,grabbed_-_both,40,3,0.0,1.0,1.0
120,grabbed_-_left,41,3,0.0,1.0,0.0
123,grabbed_-_left,42,3,0.0,1.0,0.0
126,grabbed_-_left,43,3,0.0,1.0,0.0
129,grabbed_-_left,44,3,0.0,1.0,0.0
132,grabbed_-_left,45,3,0.0,1.0,0.0
135,grabbed_-_left,46,3,0.0,1.0,0.0
138,grabbed_-_right,47,3,0.0,0.0,1.0
141,grabbed_-_right,48,3,0.0,0.0,1.0
144,grabbed_-_right,49,3,0.0,0.0,1.0
147,grabbed_-_right,50,3,0.0,0.0,1.0
150,grabbed_-_right,51,3,0.0,0.0,1.0
153,grabbed_-_right,52,3,0.0,0.0,1.0
156,grabbed_-_right,53,3,0.0,0.0,1.0
159,grabbed_-_both,54,3,0.0,1.0,1.0
162,grabbed_-_left,55,3,0.0,1.0,0.0
165,grabbed_-_left,56,3,0.0,1.0,0.0
168,grabbed_-_left,57,3,0.0,1.0,0.0
171,grabbed_-_left,58,3,0.0,1.0,0.0
174,grabbed_-_left,59,3,0.0,1.0,0.0
177,grabbed_-_left,60,3,0.0,1.0,0.0
180,grabbed_-_left,61,3,0.0,1.0,0.0
183,dropped,62,3,1.0,0.0,0.0
186,dropped,63,3,1.0,0.0,0.0
189,dropped,64,3,1.0,0.0,0.0
192,dropped,65,3,1.0,0.0,0.0
195,dropped,66,3,1.0,0.0,0.0
198,grabbed_-_right,67,3,0.0,0.0,1.0
201,grabbed_-_right,68,3,0.0,0.0,1.0
204,grabbed_-_right,69,3,0.0,0.0,1.0
207,grabbed_-_both,70,3,0.0,1.0,1.0
210,dropped,71,3,1.0,0.0,0.0
213,dropped,72,3,1.0,0.0,0.0
216,dropped,73,3,1.0,0.0,0.0
219,dropped,74,3,1.0,0.0,0.0
222,grabbed_-_right,75,3,0.0,0.0,1.0
225,grabbed_-_right,76,3,0.0,0.0,1.0
228,grabbed_-_right,77,3,0.0,0.0,1.0
231,grabbed_-_right,78,3,0.0,0.0,1.0
234,grabbed_-_right,79,3,0.0,0.0,1.0
237,grabbed_-_left,80,3,0.0,1.0,0.0
240,grabbed_-_left,81,3,0.0,1.0,0.0
243,grabbed_-_left,82,3,0.0,1.0,0.0
246,grabbed_-_left,83,3,0.0,1.0,0.0
249,grabbed_-_left,84,3,0.0,1.0,0.0
252,grabbed_-_left,85,3,0.0,1.0,0.0
255,grabbed_-_left,86,3,0.0,1.0,0.0
258,grabbed_-_left,87,3,0.0,1.0,0.0
261,grabbed_-_right,88,3,0.0,0.0,1.0
264,grabbed_-_right,89,3,0.0,0.0,1.0
267,grabbed_-_right,90,3,0.0,0.0,1.0
270,grabbed_-_right,91,3,0.0,0.0,1.0
273,grabbed_-_right,92,3,0.0,0.0,1.0
276,grabbed_-_right,93,3,0.0,0.0,1.0
279,grabbed_-_left,94,3,0.0,1.0,0.0
282,grabbed_-_left,95,3,0.0,1.0,0.0
285,grabbed_-_left,96,3,0.0,1.0,0.0
288,grabbed_-_left,97,3,0.0,1.0,0.0
291,grabbed_-_left,98,3,0.0,1.0,0.0
294,grabbed_-_left,99,3,0.0,1.0,0.0
297,grabbed_-_left,100,3,0.0,1.0,0.0
300,grabbed_-_left,101,3,0.0,1.0,0.0
303,grabbed_-_left,102,3,0.0,1.0,0.0
306,grabbed_-_left,103,3,0.0,1.0,0.0
309,grabbed_-_right,104,3,0.0,0.0,1.0
312,grabbed_-_right,105,3,0.0,0.0,1.0
315,grabbed_-_right,106,3,0.0,0.0,1.0
318,grabbed_-_right,107,3,0.0,0.0,1.0
321,grabbed_-_right,108,3,0.0,0.0,1.0
324,grabbed_-_right,109,3,0.0,0.0,1.0
327,grabbed_-_right,110,3,0.0,0.0,1.0
330,grabbed_-_right,111,3,0.0,0.0,1.0
333,grabbed_-_right,112,3,0.0,0.0,1.0
336,grabbed_-_right,113,3,0.0,0.0,1.0
339,dropped,114,3,1.0,0.0,0.0
342,dropped,115,3,1.0,0.0,0.0
345,dropped,116,3,1.0,0.0,0.0
348,dropped,117,3,1.0,0.0,0.0
351,dropped,118,3,1.0,0.0,0.0
354,dropped,119,3,1.0,0.0,0.0
357,dropped,120,3,1.0,0.0,0.0
360,dropped,121,3,1.0,0.0,0.0
2,grabbed_-_right,1,4,0.0,0.0,1.0
5,grabbed_-_right,2,4,0.0,0.0,1.0
8,grabbed_-_right,3,4,0.0,0.0,1.0
11,grabbed_-_right,4,4,0.0,0.0,1.0
14,grabbed_-_right,5,4,0.0,0.0,1.0
17,grabbed_-_right,6,4,0.0,0.0,1.0
20,grabbed_-_left,7,4,0.0,1.0,0.0
23,grabbed_-_left,8,4,0.0,1.0,0.0
26,grabbed_-_left,9,4,0.0,1.0,0.0
29,grabbed_-_left,10,4,0.0,1.0,0.0
32,grabbed_-_left,11,4,0.0,1.0,0.0
35,grabbed_-_left,12,4,0.0,1.0,0.0
38,grabbed_-_left,13,4,0.0,1.0,0.0
41,grabbed_-_both,14,4,0.0,1.0,1.0
44,grabbed_-_right,15,4,0.0,0.0,1.0
47,grabbed_-_right,16,4,0.0,0.0,1.0
50,grabbed_-_right,17,4,0.0,0.0,1.0
53,grabbed_-_right,18,4,0.0,0.0,1.0
56,grabbed_-_right,19,4,0.0,0.0,1.0
59,grabbed_-_right,20,4,0.0,0.0,1.0
62,grabbed_-_both,21,4,0.0,1.0,1.0
65,grabbed_-_left,22,4,0.0,1.0,0.0
68,grabbed_-_left,23,4,0.0,1.0,0.0
71,grabbed_-_left,24,4,0.0,1.0,0.0
74,grabbed_-_left,25,4,0.0,1.0,0.0
77,grabbed_-_left,26,4,0.0,1.0,0.0
80,grabbed_-_left,27,4,0.0,1.0,0.0
83,grabbed_-_both,28,4,0.0,1.0,1.0
86,grabbed_-_right,29,4,0.0,0.0,1.0
89,grabbed_-_right,30,4,0.0,0.0,1.0
92,grabbed_-_right,31,4,0.0,0.0,1.0
95,grabbed_-_right,32,4,0.0,0.0,1.0
98,grabbed_-_right,33,4,0.0,0.0,1.0
101,grabbed_-_right,34,4,0.0,0.0,1.0
104,grabbed_-_right,35,4,0.0,0.0,1.0
107,grabbed_-_both,36,4,0.0,1.0,1.0
110,grabbed_-_left,37,4,0.0,1.0,0.0
113,grabbed_-_left,38,4,0.0,1.0,0.0
116,grabbed_-_left,39,4,0.0,1.0,0.0
119,grabbed_-_left,40,4,0.0,1.0,0.0
122,grabbed_-_left,41,4,0.0,1.0,0.0
125,grabbed_-_left,42,4,0.0,1.0,0.0
128,grabbed_-_left,43,4,0.0,1.0,0.0
131,grabbed_-_left,44,4,0.0,1.0,0.0
134,grabbed_-_left,45,4,0.0,1.0,0.0
137,grabbed_-_left,46,4,0.0,1.0,0.0
140,grabbed_-_left,47,4,0.0,1.0,0.0
143,grabbed_-_left,48,4,0.0,1.0,0.0
146,grabbed_-_right,49,4,0.0,0.0,1.0
148,grabbed_-_right,50,4,0.0,0.0,1.0
150,grabbed_-_right,51,4,0.0,0.0,1.0
152,grabbed_-_right,52,4,0.0,0.0,1.0
154,grabbed_-_right,53,4,0.0,0.0,1.0
156,grabbed_-_right,54,4,0.0,0.0,1.0
159,grabbed_-_right,55,4,0.0,0.0,1.0
162,grabbed_-_right,56,4,0.0,0.0,1.0
165,grabbed_-_right,57,4,0.0,0.0,1.0
168,grabbed_-_right,58,4,0.0,0.0,1.0
171,grabbed_-_both,59,4,0.0,1.0,1.0
174,grabbed_-_left,60,4,0.0,1.0,0.0
177,grabbed_-_left,61,4,0.0,1.0,0.0
180,grabbed_-_left,62,4,0.0,1.0,0.0
183,grabbed_-_left,63,4,0.0,1.0,0.0
186,grabbed_-_left,64,4,0.0,1.0,0.0
189,grabbed_-_left,65,4,0.0,1.0,0.0
192,grabbed_-_both,66,4,0.0,1.0,1.0
195,grabbed_-_right,67,4,0.0,0.0,1.0
198,grabbed_-_right,68,4,0.0,0.0,1.0
201,grabbed_-_right,69,4,0.0,0.0,1.0
204,grabbed_-_right,70,4,0.0,0.0,1.0
207,grabbed_-_right,71,4,0.0,0.0,1.0
210,grabbed_-_right,72,4,0.0,0.0,1.0
213,grabbed_-_left,73,4,0.0,1.0,0.0
216,grabbed_-_left,74,4,0.0,1.0,0.0
219,grabbed_-_left,75,4,0.0,1.0,0.0
222,grabbed_-_left,76,4,0.0,1.0,0.0
225,grabbed_-_left,77,4,0.0,1.0,0.0
228,grabbed_-_left,78,4,0.0,1.0,0.0
231,grabbed_-_left,79,4,0.0,1.0,0.0
234,grabbed_-_left,80,4,0.0,1.0,0.0
237,grabbed_-_left,81,4,0.0,1.0,0.0
240,grabbed_-_left,82,4,0.0,1.0,0.0
243,grabbed_-_left,83,4,0.0,1.0,0.0
246,grabbed_-_right,84,4,0.0,0.0,1.0
249,grabbed_-_right,85,4,0.0,0.0,1.0
252,grabbed_-_right,86,4,0.0,0.0,1.0
255,grabbed_-_right,87,4,0.0,0.0,1.0
258,grabbed_-_right,88,4,0.0,0.0,1.0
261,grabbed_-_right,89,4,0.0,0.0,1.0
264,grabbed_-_right,90,4,0.0,0.0,1.0
267,grabbed_-_right,91,4,0.0,0.0,1.0
270,grabbed_-_right,92,4,0.0,0.0,1.0
273,grabbed_-_left,93,4,0.0,1.0,0.0
276,grabbed_-_left,94,4,0.0,1.0,0.0
279,grabbed_-_left,95,4,0.0,1.0,0.0
282,grabbed_-_left,96,4,0.0,1.0,0.0
285,grabbed_-_left,97,4,0.0,1.0,0.0
288,grabbed_-_left,98,4,0.0,1.0,0.0
291,grabbed_-_left,99,4,0.0,1.0,0.0
294,grabbed_-_left,100,4,0.0,1.0,0.0
297,grabbed_-_left,101,4,0.0,1.0,0.0
300,grabbed_-_left,102,4,0.0,1.0,0.0
303,grabbed_-_left,103,4,0.0,1.0,0.0
306,grabbed_-_right,104,4,0.0,0.0,1.0
309,dropped,105,4,1.0,0.0,0.0
312,dropped,106,4,1.0,0.0,0.0
315,grabbed_-_right,107,4,0.0,0.0,1.0
318,grabbed_-_right,108,4,0.0,0.0,1.0
321,grabbed_-_both,109,4,0.0,1.0,1.0
324,grabbed_-_left,110,4,0.0,1.0,0.0
327,grabbed_-_left,111,4,0.0,1.0,0.0
330,grabbed_-_left,112,4,0.0,1.0,0.0
333,grabbed_-_right,113,4,0.0,0.0,1.0
336,grabbed_-_right,114,4,0.0,0.0,1.0
339,grabbed_-_right,115,4,0.0,0.0,1.0
342,grabbed_-_right,116,4,0.0,0.0,1.0
345,grabbed_-_left,117,4,0.0,1.0,0.0
348,grabbed_-_left,118,4,0.0,1.0,0.0
351,grabbed_-_left,119,4,0.0,1.0,0.0
354,grabbed_-_left,120,4,0.0,1.0,0.0
357,grabbed_-_left,121,4,0.0,1.0,0.0
2,dropped,1,5,1.0,0.0,0.0
5,dropped,2,5,1.0,0.0,0.0
8,dropped,3,5,1.0,0.0,0.0
11,grabbed_-_right,4,5,0.0,0.0,1.0
